Date,Open,High,Low,Close,Adj Close,Volume
22-09-2017,961.01,965.61,954.42,955.1,955.1,2641800
25-09-2017,949.31,949.42,932.89,939.79,939.79,5124000
26-09-2017,945.49,948.63,931.75,938.6,938.6,3564800
27-09-2017,948,955.3,943.3,950.87,950.87,3148900
28-09-2017,951.86,959.7,950.1,956.4,956.4,2522600
29-09-2017,960.11,964.83,958.38,961.35,961.35,2543800
02-10-2017,964,967.31,952.12,959.19,959.19,2442900
03-10-2017,958,963.69,950.37,957.1,957.1,2666600
04-10-2017,954.21,967.79,954.05,965.45,965.45,2527400
05-10-2017,970,981.51,969.64,980.85,980.85,3229200
06-10-2017,975.64,995.75,975.64,989.58,989.58,3782100
09-10-2017,993.24,998.5,987.5,990.99,990.99,2938600
10-10-2017,996.67,997.95,980.1,987.2,987.2,3084900
11-10-2017,991.27,995.5,986.7,995,995,2337100
12-10-2017,996.81,1008.44,992.4,1000.93,1000.93,4067300
13-10-2017,1007,1007.77,1001.03,1002.94,1002.94,2431500
16-10-2017,1008.44,1009.57,1001.04,1006.34,1006.34,2008900
17-10-2017,1005.59,1011.47,1004.38,1009.13,1009.13,2319700
18-10-2017,1009.27,1022.31,996.55,997,997,2499700
19-10-2017,990,991.05,980.24,986.61,986.61,3108200
20-10-2017,993.53,994.62,982,982.91,982.91,2365100
23-10-2017,986.73,986.78,962.5,966.3,966.3,3494100
24-10-2017,969,979.85,965,975.9,975.9,2723900
25-10-2017,978,984.44,966.24,972.91,972.91,3033100
26-10-2017,980.33,982.9,968.55,972.43,972.43,5618700
27-10-2017,1058.14,1105.58,1050.55,1100.95,1100.95,16565000
30-10-2017,1095.01,1122.79,1093.56,1110.85,1110.85,6613100
31-10-2017,1109,1110.54,1101.12,1105.28,1105.28,3477000
01-11-2017,1105.4,1108.97,1096.74,1103.68,1103.68,3755500
02-11-2017,1097.81,1101.94,1086.87,1094.22,1094.22,3684900
03-11-2017,1091.15,1112.68,1088.52,1111.6,1111.6,3751500
06-11-2017,1109.15,1125.41,1108.77,1120.66,1120.66,3381100
07-11-2017,1124.74,1130.6,1117.5,1123.17,1123.17,2689000
08-11-2017,1122.82,1135.54,1119.11,1132.88,1132.88,2581500
09-11-2017,1125.96,1129.62,1115.77,1129.13,1129.13,3732700
10-11-2017,1126.1,1131.75,1124.06,1125.35,1125.35,2179900
13-11-2017,1123,1139.9,1122.34,1129.17,1129.17,2918400
14-11-2017,1130.11,1138,1123.89,1136.84,1136.84,3138400
15-11-2017,1127.01,1131.75,1121.63,1126.69,1126.69,3928700
16-11-2017,1130.16,1138.16,1130.05,1137.29,1137.29,2213300
17-11-2017,1138.28,1138.8,1125.81,1129.88,1129.88,2413400
20-11-2017,1129.77,1133.42,1122.55,1126.31,1126.31,2163900
21-11-2017,1132.86,1140,1128.2,1139.49,1139.49,2479400
22-11-2017,1141,1160.27,1141,1156.16,1156.16,3555300
24-11-2017,1160.7,1186.84,1160.7,1186,1186,3528000
27-11-2017,1202.66,1213.41,1191.15,1195.83,1195.83,6744000
28-11-2017,1204.88,1205.34,1188.52,1193.6,1193.6,4559400
29-11-2017,1194.8,1194.8,1145.19,1161.27,1161.27,9257500
30-11-2017,1167.1,1178.57,1160,1176.75,1176.75,4509200
01-12-2017,1172.05,1179.65,1152,1162.35,1162.35,4107100
04-12-2017,1173.85,1175.2,1128,1133.95,1133.95,5931900
05-12-2017,1128.26,1159.27,1124.74,1141.57,1141.57,4079800
06-12-2017,1137.99,1155.89,1136.08,1152.35,1152.35,2853300
07-12-2017,1156.59,1163.19,1151,1159.79,1159.79,2511600
08-12-2017,1170.4,1172.79,1157.1,1162,1162,3050100
11-12-2017,1164.6,1169.9,1157,1168.92,1168.92,2363500
12-12-2017,1166.51,1173.6,1161.61,1165.08,1165.08,2235900
13-12-2017,1170,1170.87,1160.27,1164.13,1164.13,2616800
14-12-2017,1163.71,1177.93,1162.45,1174.26,1174.26,3214300
15-12-2017,1179.03,1182.75,1169.33,1179.14,1179.14,4778600
18-12-2017,1187.37,1194.78,1180.91,1190.58,1190.58,2947600
19-12-2017,1189.15,1192.97,1179.14,1187.38,1187.38,2587800
